@relation A

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {1,-1}

@data
0.226139,-0.845268,-1
0.789521,-0.681754,-1
-0.736009,-0.957781,-1
-0.995468,0.176134,-1
0.563016,0.989080,1
-0.107364,-0.095619,-1
0.462424,0.262937,1
0.811157,-0.424220,-1
-0.060602,-0.628030,-1
-0.255917,0.972909,1
0.774009,0.815147,1
0.903907,-0.116161,-1
0.089318,0.816006,1
-0.032568,-0.945991,-1
0.682300,0.653584,1
-0.660042,0.098048,-1
-0.823868,-0.634112,-1
0.294923,-0.119919,-1
-0.266335,0.840748,1
0.646874,0.115662,-1
-0.110945,-0.548292,-1
-0.109790,-0.360223,-1
-0.906372,0.016997,-1
-0.056827,0.157760,1
-0.682631,0.247665,-1
0.177779,0.939807,1
-0.233614,-0.394712,-1
-0.459884,0.445262,1
0.095597,-0.495533,-1
-0.350112,0.179683,1
0.095413,-0.122835,-1
0.600998,-0.504488,-1
0.502041,0.962553,1
0.595819,0.576848,1
-0.908905,0.502135,-1
-0.457151,0.971339,1
0.265253,0.922414,1
0.927532,0.647083,-1
0.677404,0.277085,-1
-0.617366,-0.192655,-1
0.960868,-0.804801,-1
0.346650,-0.804046,-1
-0.680480,-0.603095,-1
0.944382,0.951261,1
-0.576455,-0.550274,-1
-0.255785,0.718415,1
0.105953,-0.365624,-1
-0.238763,0.635744,1
-0.221692,-0.635969,-1
0.555299,-0.651005,-1
