@relation A

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {1,-1}

@data
-0.250282,-0.853468,-1
0.620808,-0.549300,-1
-0.263519,0.625611,1
-0.343896,0.407952,1
0.526419,-0.056788,-1
0.334108,0.943397,1
-0.526101,-0.997698,-1
-0.706928,0.346806,-1
-0.532367,-0.196507,-1
0.065666,0.012429,1
-0.656745,0.795581,1
0.833820,-0.076049,-1
0.637454,-0.324224,-1
0.470992,0.586250,1
-0.693717,0.816894,1
-0.618487,-0.736184,-1
0.498160,-0.459993,-1
-0.876082,0.221595,-1
-0.401510,0.621003,1
-0.592375,-0.292252,-1
-0.948726,-0.847050,-1
0.621945,-0.796079,-1
0.698042,-0.547191,-1
-0.154838,-0.669977,-1
-0.789162,0.918570,1
-0.771048,0.092586,-1
0.407813,-0.480799,-1
0.764346,0.448745,-1
-0.230831,-0.219246,-1
-0.855827,0.026230,-1
0.345123,-0.617751,-1
0.753758,0.746054,1
-0.598220,-0.614278,-1
0.240692,0.007859,-1
-0.226245,-0.352133,-1
0.538107,0.347091,1
-0.676054,-0.248031,-1
0.025477,-0.004948,-1
0.344210,0.818481,1
-0.075381,-0.808977,-1
-0.623156,0.455594,1
0.388726,-0.008455,-1
0.895696,0.876295,1
0.629746,-0.088126,-1
-0.636152,0.544383,1
-0.090144,-0.181126,-1
0.164278,0.273513,1
0.931290,0.404818,-1
-0.842067,-0.062621,-1
0.157211,-0.698705,-1
0.732365,0.264857,-1
-0.429147,-0.755316,-1
0.183886,-0.259449,-1
0.342291,-0.575604,-1
-0.496984,0.257243,1
0.816430,-0.949258,-1
-0.364667,0.085369,-1
-0.208572,0.299549,1
-0.731572,-0.490158,-1
0.385675,0.700977,1
-0.357495,0.056638,-1
-0.980999,-0.978450,-1
0.570382,-0.774220,-1
-0.172556,-0.083686,-1
-0.430504,0.130593,-1
0.355898,0.472164,1
-0.033587,-0.656654,-1
-0.144048,0.623648,1
0.866869,0.277861,-1
0.415413,0.473478,1
0.815966,0.148020,-1
-0.565108,-0.612263,-1
-0.387964,-0.618635,-1
-0.054442,-0.211398,-1
0.335920,-0.134447,-1
0.904980,-0.463834,-1
0.836576,-0.664244,-1
0.083967,-0.399211,-1
-0.922252,0.027355,-1
0.946987,-0.425949,-1
-0.976344,-0.046941,-1
-0.870159,0.934248,1
-0.582231,0.340580,1
-0.549234,-0.661913,-1
0.951278,0.053101,-1
-0.760514,0.179498,-1
0.876410,0.469016,-1
-0.965034,0.990257,1
0.874568,-0.199573,-1
-0.826146,-0.742843,-1
-0.668321,0.663461,1
-0.443299,0.809423,1
0.838217,0.397728,-1
0.275402,0.141134,1
-0.020341,-0.359870,-1
-0.737254,0.040932,-1
-0.952362,-0.024051,-1
0.427495,-0.748386,-1
0.675600,0.656401,1
-0.463298,0.731298,1
-0.595318,0.565703,1
0.509151,0.332406,1
-0.624933,0.735246,1
0.933815,0.130603,-1
-0.222823,0.394765,1
-0.372835,-0.302255,-1
-0.045410,0.097440,1
0.744713,-0.871325,-1
-0.715135,-0.865347,-1
0.278574,0.777213,1
0.326637,0.070269,-1
-0.299153,-0.432212,-1
-0.967410,0.858712,-1
0.392212,-0.827256,-1
-0.855223,0.408262,-1
0.578044,-0.978271,-1
-0.318634,0.087262,-1
-0.003304,0.960712,1
0.583227,0.731709,1
0.926319,-0.714956,-1
-0.475596,-0.210723,-1
-0.746440,-0.895177,-1
-0.126975,-0.275508,-1
-0.760345,-0.681524,-1
-0.711694,-0.338267,-1
-0.113777,-0.158970,-1
0.989110,0.501327,-1
-0.376628,-0.790257,-1
0.615040,-0.871457,-1
0.882807,0.251836,-1
-0.136451,0.739371,1
-0.066920,-0.322054,-1
-0.128069,0.535216,1
-0.588807,0.929694,1
-0.839412,0.933438,1
-0.622660,-0.991665,-1
0.307234,0.018772,-1
