@relation B

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {1,-1}

@data
-0.926517,-0.783537,1
0.315234,-0.818913,-1
-0.069179,-0.512077,-1
0.594494,-0.745909,-1
0.407268,0.014859,1
-0.319002,-0.976203,-1
0.895013,0.944152,-1
0.144502,0.118053,1
0.035556,-0.845030,-1
-0.703684,-0.221205,1
0.419501,-0.565370,-1
0.782244,-0.324886,-1
-0.695364,0.054604,1
0.222050,0.225095,1
0.783020,-0.013839,-1
0.067509,0.388287,1
0.730912,0.358443,-1
-0.741186,-0.789676,1
-0.603990,0.925228,1
-0.516138,-0.000549,1
-0.218071,-0.303384,-1
-0.550635,0.173707,1
-0.655154,-0.358384,1
-0.307417,0.191350,-1
0.257860,0.734054,1
-0.231056,-0.128605,-1
0.531960,0.551346,1
0.210540,0.032643,1
0.763894,-0.317463,-1
0.689633,0.750074,-1
0.423069,-0.495451,-1
0.905608,0.220534,-1
0.936756,-0.305223,-1
-0.925125,0.005513,1
-0.303766,-0.938370,-1
-0.880851,-0.846231,1
-0.681412,0.205899,1
0.031273,0.521440,1
-0.660869,-0.702517,1
0.200963,-0.315264,1
-0.281418,-0.106273,-1
-0.455328,-0.824223,-1
0.486546,0.872431,1
0.010088,-0.828028,-1
-0.967216,0.002282,1
-0.472738,-0.709238,-1
-0.547213,0.630484,1
0.058094,0.853422,1
-0.395278,-0.904309,-1
-0.122505,-0.884753,-1
