@relation B

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {1,-1}

@data
-0.597090,-0.977084,-1
-0.194761,0.124167,-1
-0.452470,-0.199381,-1
0.299591,-0.225744,1
0.262691,0.132093,1
-0.062609,-0.480388,-1
0.709811,0.826891,-1
0.267542,-0.361515,-1
0.736610,-0.618060,-1
0.798167,-0.466231,-1
0.466870,0.631793,1
-0.576181,0.414217,1
0.278330,-0.629891,-1
0.640197,-0.551986,-1
0.920707,0.279842,-1
-0.351898,0.853423,1
-0.681248,0.541097,1
-0.439729,0.916405,1
-0.907112,-0.184101,1
0.725341,-0.483187,-1
0.862339,0.443196,-1
0.188255,0.428927,1
-0.998577,0.011022,1
-0.741244,0.705562,1
-0.100037,-0.257214,-1
-0.716701,-0.450055,1
0.695128,0.774658,-1
0.057104,0.360808,1
0.822257,0.269368,-1
-0.727324,0.975563,1
0.890322,0.079630,-1
0.527109,-0.942772,-1
-0.671813,0.630064,1
0.593373,-0.364003,-1
-0.132595,-0.947609,-1
-0.563263,-0.643085,1
0.543486,0.517594,-1
-0.640785,0.975694,1
-0.392454,-0.443323,-1
-0.260341,-0.735897,-1
0.493492,-0.204088,-1
0.278059,0.911537,1
-0.490490,0.596702,1
0.466751,0.077486,-1
-0.132304,-0.380944,-1
-0.410709,0.717044,1
-0.562526,0.890479,1
0.211189,-0.133630,1
-0.065213,-0.181537,-1
0.341911,-0.209187,1
0.197149,-0.656341,-1
-0.774412,-0.526062,1
-0.318728,-0.552713,-1
0.736746,-0.604913,-1
0.698334,0.200474,-1
0.874436,-0.671571,-1
0.912707,-0.752459,-1
-0.974722,0.461743,1
0.343543,0.685211,1
-0.465720,0.624079,1
0.720163,0.796377,-1
0.015801,0.575487,1
-0.788305,-0.001559,1
0.581069,-0.825789,-1
-0.233911,-0.936035,-1
-0.933894,-0.757743,1
-0.133203,-0.577168,-1
-0.387841,0.994939,1
0.552498,0.923785,1
0.757868,0.752130,-1
0.590349,0.268311,-1
-0.279113,0.855636,1
-0.195727,0.942665,1
-0.939955,-0.124257,1
-0.155824,-0.763773,-1
-0.980147,-0.523182,1
-0.558206,0.191806,1
0.980894,0.336452,-1
-0.096956,0.399765,1
0.597668,0.785651,-1
0.309792,-0.807976,-1
-0.130478,0.820142,1
-0.867993,0.281703,1
-0.542579,0.264451,1
0.814762,0.625848,-1
0.680521,0.042917,-1
-0.956192,-0.057619,1
-0.922871,0.624019,1
-0.188064,0.361608,1
-0.376911,0.110120,-1
0.367825,0.012749,1
0.262696,-0.686479,-1
-0.594804,-0.771639,1
-0.313848,0.631160,1
0.133387,-0.160290,1
-0.821290,-0.058167,1
